zh_TW,zh-CN,en-En,en調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
前往驗證身份,,Verify your identity,,,,,,,,,,,,,,home.idVerifyNeedPopup.confirm
首頁,,Homepage,Home,,,,,,,,,,,,,menu.home
資產,,Assets,,,,,,,,,,,,,,menu.funds
交易,,Trade,,,,,,,,,,,,,,menu.trade
我的,,Mine,Hub,,,,,,,,,,,,,menu.my
總覽,,Overview,,,,,,,,,,,,,,"menu.overview,agentSetting.agentOverview,agentOverview.appBarTitle"
用戶清單,,User List,,,,,,,,,,,,,,"menu.users,agentSetting.agentUsers"
分潤細節,,Revenue Share Details,,,,,,,,,,,,,,"menu.profitSharing,agentSetting.agentProfitSharing,agentOverview.agentProfitTitle,agentProfitSharing.appBarTitle"
推薦碼,,Referral Code,,,,,,,,,,,,,,"menu.referralCode,accountData.referralCodeTitle,agentSetting.agentReferralCode,agentUser.filterPopup.recommendedCode,agentReferralCode.appBarTitle,referralCodeBind.inputTitle,agentReferralUserList.recommendedCode"
交易設定,,Transaction Settings,,,,,,,,,,,,,,"menu.transactionSetting,agentSetting.transactionSetting,agentTransactionSetting.appBarTitle"
買入,,Buy,,,,,,,,,,,,,,"agentFundingPositionsList.buyingTitle,agentFundingPositionsDetail.buyingTitle,common.buyIn"
賣出,,Sell,,,,,,,,,,,,,,"agentFundingPositionsList.sellTitle,agentFundingPositionsDetail.sellTitle,common.sellOut"
手續費,,Handling Fee,,,,,,,,,,,,,,"agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,paymentHistory.fee,futuresTransaction.totalCostPopup.handlingFee,agentTransactionSettingList.handlingFeeTitle,agentConditionFuturesList.handlingFeeTitle"
槓桿設定,,Leverage Settings,,,,,,,,,,,,,,"agentFundingPositionsList.leverageSettingTitle,agentFundingPositionsDetail.leverageSettingTitle,agentFundingDetails.filterPopup.leverageSettingTitle"
總盈虧,,Total Profit or Loss,,,,,,,,,,,,,,"agentFundingPositionsList.generalProfit,agentFundingPositionsDetail.generalProfit,agentFundingDetails.filterPopup.openingFilterGeneralProfit"
開倉價,,Open Price,,,,,,,,,,,,,,"agentFundingPositionsList.openingPriceTitle,positions.openPositionPrice,orders.openPriceTitle"
止盈價格,,Take Profit Price,,,,,,,,,,,,,,"agentFundingPositionsList.stopProfitPrice,agentFundingPositionsDetail.stopProfitPrice"
止損價格,,Stop Loss Price,,,,,,,,,,,,,,"agentFundingPositionsList.stopLossPrice,agentFundingPositionsDetail.stopLossPrice"
單號,,Order Number,Order No,,,,,,,,,,,,,"agentFundingPositionsList.singleNumberTitle,agentFundingPositionsDetail.singleNumberTitle,paymentHistory.orderSerial,withdrawCategory.orderSerial"
立即成交,,Immediate transaction,,,,,,,,,,,,,,"agentFundingPositionsList.repairImmediatelyHint,agentFundingPositionsDetail.repairImmediatelyHint"
開倉保證金,,Opening Margin,,,,,,,,,,,,,,"agentFundingPositionsList.openMarginTitle,agentFundingPositionsDetail.openMarginTitle"
複製,,Copy,,,,,,,,,,,,,,"agentFundingPositionsDetail.copyButton,agentReferralCodeList.copyButton,copyButton.title"
平倉時間,,Closing Time,,,,,,,,,,,,,,"agentFundingPositionsDetail.closingTimeTitle,transactionHistory.closePositionTime,transactionHistoryDetail.createDate,agentFundingDetails.filterPopup.closingTimeTitle"
開倉時間,,Opening Time,,,,,,,,,,,,,,"agentFundingPositionsDetail.openingTimeTitle,agentFundingDetails.filterPopup.openingTimeTitle"
交易方向,,Trading Direction,,,,,,,,,,,,,,"agentFundingPositionsDetail.tradingDirectionTitle,agentFundingDetails.filterPopup.tradingDirectionTitle"
淨盈虧,,Net Profit or Loss,,,,,,,,,,,,,,"agentFundingPositionsDetail.netProfit,agentFundingDetails.filterPopup.openingFilterNetProfit"
資金明細,,Funds Details,,,,,,,,,,,,,,"agentFundingPositionsDetail.appBarTitle,agentFundingDetails.appBarTitle,agentPaymentDetail.appBarTitle"
掛單,,Pending Order,Orders,,,,,,,,,,,,,"agentFundingPositionsDetail.hangingTitle,accountTransaction.tabOrder,futuresDetail.bottomSheet.accountOrder,orderDetail.openPositionChartTag,orderDetail.orderTag,orderDetail.orderChartTag"
隔夜費,,Overnight Fee,Overnight Funding,,,,,,,,,,,,,"agentFundingPositionsDetail.rolloverTitle,positionDetail.rollover,transactionHistoryDetail.rollover,futuresContract.rollover"
掛單價格,,Pending Order Price,Order Price,,,,,,,,,,,,,"agentFundingPositionsDetail.hangingPriceTitle,orderDetail.orderPriceTitle,orderModify.accountOrderTitle"
開倉價格,,Open Price,,,,,,,,,,,,,,"agentFundingPositionsDetail.openingPriceTitle,positionDetail.tableOpenPriceTitle,positionDetail.openPriceTitle,transactionHistoryDetail.openPositionPriceTitle,futuresTransaction.marketOrderPopup.openPrice,orderDetail.openingPriceTitle"
平倉價格,,Closing Price,,,,,,,,,,,,,,"agentFundingPositionsDetail.closingPriceTitle,transactionHistoryDetail.closePositionPriceTitle"
已複製,,Copied,,,,,,,,,,,,,,agentFundingPositionsDetail.copyToast
交易數量 (手),,Quantity of Transaction (lots),,,,,,,,,,,,,,agentFundingPositionsDetail.quantityTransactionsTitle
成交價格,,Transaction Price,,,,,,,,,,,,,,agentFundingPositionsDetail.dealPriceTitle
下單時間,,Order Time,,,,,,,,,,,,,,agentFundingPositionsDetail.orderTimeTitle
成交時間,,Transaction Time,,,,,,,,,,,,,,agentFundingPositionsDetail.dealOrderTimeTitle
更新時間,,Update Time,,,,,,,,,,,,,,agentFundingPositionsDetail.updateTimeTitle
持倉數量,,Open Position,,,,,,,,,,,,,,agentFundingPositionsDetail.positionQuantityTitle
平倉原因,,Reason for Closing Position,Closing Reason,,,,,,,,,,,,,"agentFundingPositionsDetail.closingReasonTitle,transactionHistoryDetail.closePositionReason"
平倉,,Close Position,Close,,,,,,,,,,,,,"positions.closePosition,positionDetail.closePosition,agentFundingDetails.closePositionButton"
保證金,,Margin,,,,,,,,,,,,,,"positions.occupyMargin,accountTransaction.occupyMargin,walletAssetsPopup.margin,positionDetail.contractMargin,transactionHistoryDetail.contractMargin,futuresTransaction.marketOrderPopup.occupyMargin,futuresTransaction.limitOrderPopup.occupyMargin,orders.occupyMargin,orderDetail.margin"
訂單號,,Order Number,Order No,,,,,,,,,,,,,"positions.transactionSerial,transactionHistory.transactionSerial,positionDetail.transactionSerial,transactionHistoryDetail.transactionSerial,orders.transactionSerialTitle,orderDetail.transactionSerial"
平倉成功,,Position closed successfully,,,,,,,,,,,,,,"positions.closePositionSuccess,positionDetail.closePositionSuccess"
預估強平價,,Estimated Forced Parity,,,,,,,,,,,,,,"positions.estimatedForcedParity,positionDetail.estimatedForcedParity,adjustmentMarginDescriptionPopup.content3"
全選,,Select All,,,,,,,,,,,,,,"positions.selectAll,futuresCustomEdit.selectAll"
尚無持倉,,No open position yet,,,,,,,,,,,,,,"positions.emptyTip,futuresDetail.bottomSheet.positionEmptyTip,agentFundingPositions.emptyTip"
開始交易,,Start Trading,,,,,,,,,,,,,,"positions.emptyButton,orders.emptyButton"
重置,,Reset,,,,,,,,,,,,,,positions.resetSelect
批量平倉,,Batch Close,,,,,,,,,,,,,,positions.closeMultiPosition
交易手數超過持有手數,,The number of trading lots exceeds that of lots held.,,,,,,,,,,,,,,positions.closePositionLotsOutRange
確定平倉,,Closed position confirmed,,,,,,,,,,,,,,positions.isConfirmClosePosition
限時價,,Limited Time Price,,,,,,,,,,,,,,positions.limitedTimePrice
當前價,,Current Price,,,,,,,,,,,,,,"positions.lastPriceTitle,orders.lastPriceTitle"
尚無紀錄,,No record yet,,,,,,,,,,,,,,transactionHistory.emptyTip
開始時間,,Start Time,,,,,,,,,,,,,,transactionHistory.dateRangeStartDefault
結束時間,,End Time,,,,,,,,,,,,,,transactionHistory.dateRangeEndDefault
取消,,Cancel,,,,,,,,,,,,,,"agentUsersDetail.descriptionPopup.cancelButton,agentUserPaymentHistory.filterPopup.cancelButton,agentProfitSharing.filterPopup.cancelButton,agentUser.filterPopup.cancelButton,common.cancel,agentTransactionSettingList.descriptionPopup.cancelButton,agentFundingDetails.filterPopup.cancelButton,agentReferralCodeList.descriptionPopup.cancelButton,agentProfitSharingSearch.cancel,agentUserSearch.cancel,agentReferralCodeSearch.cancel,agentReferralCodeFunctionPopup.cancelButton,editAgentReferralCode.descriptionPopup.cancelButton,addAgentReferralCodePopup.cancelButton,agentTransactionSettingSearch.cancel,agentUserProfitSharingForm.filterPopup.cancelButton,agentFundingDetailsSearch.cancel"
刪除點差,,Delete Spread,,,,,,,,,,,,,,"agentUsersDetail.descriptionPopup.deleteTitle,agentUsersDetail.descriptionPopup.deleteButton,agentTransactionSettingList.descriptionPopup.deleteTitle,agentTransactionSettingList.descriptionPopup.deleteButton,editAgentReferralCode.descriptionPopup.deleteTitle,editAgentReferralCode.descriptionPopup.deleteButton"
刪除該品項點差，將會導致用戶交易的點差回到預設點差，可能會影響您的利潤。\n\n確定要刪除點差嗎？,,"Deleting the spread of this item will cause the spread of the transaction to return to the default spread, which may affect your profits. \n\n Are you sure you want to delete the spread?",,,,,,,,,,,,,,"agentUsersDetail.descriptionPopup.contentText,agentTransactionSettingList.descriptionPopup.contentText,editAgentReferralCode.descriptionPopup.contentText"
規費,,Fee,,,,,,,,,,,,,,"agentUsersDetail.feesTitle,agentOverview.feesTitle,agentProfitSharing.feesTitle,agentUserProfitSharingForm.filterPopup.feesTitle,agentUserProfitSharingFormList.headerFees,agentProfitList.typesFees,agentCondition.FeesTitle"
交易利潤,,Trading Profit,,,,,,,,,,,,,,"agentUsersDetail.transactionProfitTitle,agentOverview.transactionProfitTitle,agentProfitSharing.transactionProfitTitle,agentUserProfitSharingForm.filterPopup.transactionProfitTitle,agentUserProfitSharingFormList.headerTransactionProfit,agentProfitList.typesTransactionProfit"
其他利潤,,Other Profit,,,,,,,,,,,,,,"agentUsersDetail.otherProfitsTitle,agentOverview.otherProfitsTitle,agentProfitSharing.otherProfitsTitle,agentProfitList.typesOtherProfits"
總利潤,,Total Profit,,,,,,,,,,,,,,"agentUsersDetail.totalProfitTitle,agentProfitSharing.totalProfitTitle"
刪除成功,,Deleted successfully,,,,,,,,,,,,,,"agentUsersDetail.deleteSuccess,agentReferralCode.deleteSuccess,agentTransactionSetting.deleteSuccess,agentReferralCodeSearch.deleteSuccess,editAgentReferralCode.deleteSuccess,agentTransactionSettingSearch.deleteSuccess"
刪除失敗,,Deletion failed,,,,,,,,,,,,,,"agentUsersDetail.deleteFailed,agentReferralCode.deleteFailed,agentTransactionSetting.deleteFailed,agentReferralCodeSearch.deleteFailed,agentTransactionSettingSearch.deleteFailed"
點差及手續費,,Spread and Handling Fee,,,,,,,,,,,,,,"agentUsersDetail.distributionHandlingFeeTitle,agentReferralCodeList.distributionHandlingFeeTitle,editAgentReferralCode.distributionHandlingFeeTitle"
修改成功,,Modified successfully,,,,,,,,,,,,,,"agentUsersDetail.editSuccess,agentTransactionSetting.editSuccess,orderModify.modifySuccess,editAgentReferralCode.editSuccess,agentTransactionSettingSearch.editSuccess,positionModify.modifySuccess,chartBollSetting.modifySuccess,chartKdjSetting.modifySuccess,chartMacdSetting.modifySuccess,chartMaSetting.modifySuccess,chartRsiSetting.modifySuccess,chartWrSetting.modifySuccess,chartTypeSetting.modifySuccess"
新增,,Add,,,,,,,,,,,,,,"agentUsersDetail.addButton,editAgentReferralCode.addButton"
修改失敗,,Modification failed,,,,,,,,,,,,,,"agentUsersDetail.editFailed,agentTransactionSetting.editFailed,agentTransactionSettingSearch.editFailed,chartBollSetting.modifyFail,chartKdjSetting.modifyFail,chartMacdSetting.modifyFail,chartMaSetting.modifyFail,chartRsiSetting.modifyFail,chartWrSetting.modifyFail,chartTypeSetting.modifyFail"
查無資料,,No information found,,,,,,,,,,,,,,"agentUsersDetail.emptyTip,agentUserPaymentHistory.emptyTip,agentTransactionSetting.emptyTip,agentConditionFuturesList.emptyTip,agentPaymentDetail.emptyTip,agentTransactionSettingSearch.emptyTip,agentFundingDetailsSearch.emptyTip,agentCondition.emptyTip,agentReferralCodeUsers.emptyTip,countryCode.emptyTip"
利潤,,Profit,,,,,,,,,,,,,,agentUsersDetail.profitTitle
交易概況,,Transaction Overview,,,,,,,,,,,,,,agentUsersDetail.tradingOverviewTitle
利潤損失,,Loss,,,,,,,,,,,,,,agentUsersDetail.profitLossTitle
總保證金,,Total Margin,,,,,,,,,,,,,,agentUsersDetail.totalMargin
股權,,Equity,,,,,,,,,,,,,,agentUsersDetail.equity
總維持保證金,,Total Maintenance Margin,Total M. Margin,,,,,,,,,,,,,agentUsersDetail.totalMaintenanceMargin
交易明細,,Transaction Details,,,,,,,,,,,,,,agentUsersDetail.transactionDetailsButton
清除,,Clear,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.cleanButton,paymentHistory.filterPopup.clearButton,agentProfitSharing.filterPopup.cleanButton,agentUser.filterPopup.cleanButton,agentFundingDetails.filterPopup.cleanButton,agentUserProfitSharingForm.filterPopup.cleanButton"
