zh_TW,zh-CN,en-EN,英文字數,建議字數,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
未支付,,,,,,,,,,,,,,,,,"paymentHistory.orderStatusDepositWaitPay,agentUserPaymentHistoryList.orderStatusDepositWaitPay"
審核失敗,,,,,,,,,,,,,,,,,"paymentHistory.orderStatusWithdrawReject,agentUserPaymentHistoryList.orderStatusWithdrawReject"
審核時間,,,,,,,,,,,,,,,,,paymentHistory.filterPopup.applyTimeTitle
入金金額區間：{unit} {range},,,,,,,,,,,,,,,,,"withdraw.withdrawPriceRangeTip,paymentBank.paymentPriceRangeTip"
餘額,,,,,,,,,,,,,,,,,withdraw.balanceTitle
全部取出,,,,,,,,,,,,,,,,,withdraw.withdrawAll
代理-出入金詳情列表,,,,,,,,,,,,,,,,,agentUserPaymentHistoryList.nameDescription
實時盈虧,,,,,,,,,,,,,,,,,accountTransaction.dynamicProfitLoss
已平倉,,,,,,,,,,,,,,,,,"accountTransaction.tabHistory,transactionHistoryDetail.orderTag"
開倉價以高到低,,,,,,,,,,,,,,,,,accountTransaction.positionSortUp2Down
開倉價以低到高,,,,,,,,,,,,,,,,,accountTransaction.positionSortDown2Up
最久開倉時間,,,,,,,,,,,,,,,,,accountTransaction.positionSortOld2New
最近開倉時間,,,,,,,,,,,,,,,,,accountTransaction.positionSortNew2Old
時間-上,,,,,,,,,,,,,,,,,accountTransaction.sortTimeUp
時間-下,,,,,,,,,,,,,,,,,accountTransaction.sortTimeDown
開倉價-上,,,,,,,,,,,,,,,,,accountTransaction.sortPriceUp
